"Method","Metric","Site","Value"
"Minnow_trap","Evenness","ECHO_N_02",NA
"Minnow_trap","Evenness","ECHO_N_07",0.721928094887362
"Minnow_trap","Evenness","ECHO_N_04",NA
"Minnow_trap","Evenness","ECHO_N_05",0
"Minnow_trap","Evenness","ECHO_N_06",NA
"Minnow_trap","Evenness","ECHO_N_13",NA
"Minnow_trap","Evenness","ECHO_N_14",0
"Minnow_trap","Evenness","ECHO_N_15",NA
"Minnow_trap","Evenness","ECHO_N_16",0.468995593589281
"Minnow_trap","Evenness","ECHO_N_17",0
"Minnow_trap","Evenness","ECHO_N_09",NA
"Minnow_trap","Evenness","ECHO_N_11",1
"Minnow_trap","Evenness","ECHO_N_12",NA
"Minnow_trap","Evenness","ECHO_N_01",0.72483409150576
"Minnow_trap","Evenness","FOUR_N_12",NA
"Minnow_trap","Evenness","FOUR_N_13",0
"Minnow_trap","Evenness","FOUR_N_11",0
"Minnow_trap","Evenness","FOUR_N_01",0
"Minnow_trap","Evenness","FOUR_N_02",0
"Minnow_trap","Evenness","FOUR_N_03",0
"Minnow_trap","Evenness","FOUR_N_04",NA
"Minnow_trap","Evenness","FOUR_N_05",NA
"Minnow_trap","Evenness","FOUR_N_06",NA
"Minnow_trap","Evenness","FOUR_N_07",0
"Minnow_trap","Evenness","FOUR_N_09",NA
"Minnow_trap","Evenness","FOUR_N_15",0
"Minnow_trap","Evenness","FOUR_N_16",0
"Minnow_trap","Evenness","FOUR_N_17",0
"Minnow_trap","Evenness","FOUR_N_14",NA
"Minnow_trap","Evenness","MONT_N_17",NA
"Minnow_trap","Evenness","MONT_N_06",NA
"Minnow_trap","Evenness","MONT_N_07",0.863120568566631
"Minnow_trap","Evenness","MONT_N_09",NA
"Minnow_trap","Evenness","MONT_N_11",NA
"Minnow_trap","Evenness","MONT_N_12",0
"Minnow_trap","Evenness","MONT_N_13",0
"Minnow_trap","Evenness","MONT_N_14",0
"Minnow_trap","Evenness","MONT_N_15",NA
"Minnow_trap","Evenness","MONT_N_16",NA
"Minnow_trap","Evenness","MONT_N_01",0
"Minnow_trap","Evenness","MONT_N_02",0
"Minnow_trap","Evenness","MONT_N_03",0
"Minnow_trap","Evenness","MONT_N_04",0
"Minnow_trap","Evenness","MONT_N_05",NA
"Minnow_trap","Evenness","MORE_N_03",NA
"Minnow_trap","Evenness","MORE_N_04",NA
"Minnow_trap","Evenness","MORE_N_05",NA
"Minnow_trap","Evenness","MORE_N_06",NA
"Minnow_trap","Evenness","MORE_N_07",NA
"Minnow_trap","Evenness","MORE_N_09",NA
"Minnow_trap","Evenness","MORE_N_11",NA
"Minnow_trap","Evenness","MORE_N_12",NA
"Minnow_trap","Evenness","MORE_N_13",NA
"Minnow_trap","Evenness","MORE_N_01",NA
"Minnow_trap","Evenness","MORE_N_02",NA
"Minnow_trap","Evenness","MORE_N_15",NA
"Minnow_trap","Evenness","MORE_N_16",NA
"Minnow_trap","Evenness","MORE_N_17",NA
"Minnow_trap","Evenness","MORE_N_14",NA
"Minnow_trap","Evenness","PINR_N_17",NA
"Minnow_trap","Evenness","PINR_N_14",NA
"Minnow_trap","Evenness","PINR_N_15",0
"Minnow_trap","Evenness","PINR_N_16",0.337290066617014
"Minnow_trap","Evenness","PINR_N_01",0
"Minnow_trap","Evenness","PINR_N_02",0
"Minnow_trap","Evenness","PINR_N_03",NA
"Minnow_trap","Evenness","PINR_N_04",0
"Minnow_trap","Evenness","PINR_N_05",0
"Minnow_trap","Evenness","PINR_N_06",0.91829583405449
"Minnow_trap","Evenness","PINR_N_07",0
"Minnow_trap","Evenness","PINR_N_09",1
"Minnow_trap","Evenness","PINR_N_11",NA
"Minnow_trap","Evenness","PINR_N_12",0
"Minnow_trap","Evenness","PINR_N_13",0
"Minnow_trap","Evenness","STON_N_10",NA
"Minnow_trap","Evenness","STON_N_07",0
"Minnow_trap","Evenness","STON_N_08",0.811278124459133
"Minnow_trap","Evenness","STON_N_09",NA
"Minnow_trap","Evenness","STON_N_01",0
"Minnow_trap","Evenness","STON_N_02",0
"Minnow_trap","Evenness","STON_N_03",0
"Minnow_trap","Evenness","STON_N_04",NA
"Minnow_trap","Evenness","STON_N_05",0
"Minnow_trap","Evenness","STON_N_06",NA
"Minnow_trap","Evenness","STON_N_11",NA
"Minnow_trap","Evenness","STON_N_12",0
"Minnow_trap","Evenness","STON_N_13",0
"Minnow_trap","Evenness","STON_N_14",0
"Minnow_trap","Evenness","STON_N_15",NA
"Minnow_trap","Evenness","TRAC_N_01",0
"Minnow_trap","Evenness","TRAC_N_02",0
"Minnow_trap","Evenness","TRAC_N_03",0
"Minnow_trap","Evenness","TRAC_N_04",0
"Minnow_trap","Evenness","TRAC_N_05",0
"Minnow_trap","Evenness","TRAC_N_06",NA
"Minnow_trap","Evenness","TRAC_N_07",0
"Minnow_trap","Evenness","TRAC_N_09",0
"Minnow_trap","Evenness","TRAC_N_11",0
"Minnow_trap","Evenness","TRAC_N_12",0
"Minnow_trap","Evenness","TRAC_N_13",0
"Minnow_trap","Evenness","TRAC_N_14",0
"Minnow_trap","Evenness","TRAC_N_15",0
"Minnow_trap","Evenness","TRAC_N_16",0
"Minnow_trap","Evenness","TRAC_N_17",0
"Minnow_trap","Evenness","TRIT_N_01",0
"Minnow_trap","Evenness","TRIT_N_02",NA
"Minnow_trap","Evenness","TRIT_N_03",0
"Minnow_trap","Evenness","TRIT_N_04",0.721928094887362
"Minnow_trap","Evenness","TRIT_N_05",NA
"Minnow_trap","Evenness","TRIT_N_06",NA
"Minnow_trap","Evenness","TRIT_N_07",NA
"Minnow_trap","Evenness","TRIT_N_09",NA
"Minnow_trap","Evenness","TRIT_N_11",NA
"Minnow_trap","Evenness","TRIT_N_12",0
"Minnow_trap","Evenness","TRIT_N_13",0.985228136034252
"Minnow_trap","Evenness","TRIT_N_14",NA
"Minnow_trap","Evenness","TRIT_N_15",NA
"Minnow_trap","Evenness","TRIT_N_16",NA
"Minnow_trap","Evenness","TRIT_N_17",NA
"Seine","Species richness","ACHI_S_01",0
"Seine","Species richness","ACHI_S_02",2
"Seine","Species richness","ACHI_S_05",0
"Seine","Species richness","ACHI_S_06",0
"Seine","Species richness","ACHI_S_03",0
"Seine","Species richness","ACHI_S_04",0
"Seine","Species richness","ACHI_S_07",2
"Seine","Species richness","ACHI_S_08",3
"Seine","Species richness","BEAV_S_01",3
"Seine","Species richness","BEAV_S_02",2
"Seine","Species richness","BEAV_S_03",2
"Seine","Species richness","BEAV_S_04",2
"Seine","Species richness","COEU_S_01",0
"Seine","Species richness","COEU_S_02",1
"Seine","Species richness","COEU_S_03",2
"Seine","Species richness","COEU_S_04",1
"Seine","Species richness","COEU_S_05",2
"Seine","Species richness","COEU_S_06",2
"Seine","Species richness","CORN_S_01",1
"Seine","Species richness","CORN_S_02",2
"Seine","Species richness","CORN_S_03",1
"Seine","Species richness","CORN_S_04",1
"Seine","Species richness","CORR_S_01",3
"Seine","Species richness","CORR_S_02",4
"Seine","Species richness","CORR_S_03",2
"Seine","Species richness","CORR_S_04",3
"Seine","Species richness","CROC_S_02",3
"Seine","Species richness","CROC_S_04",2
"Seine","Species richness","CROC_S_05",2
"Seine","Species richness","CROC_S_01",1
"Seine","Species richness","CROM_S_02",4
"Seine","Species richness","CROM_S_03",3
"Seine","Species richness","CROM_S_04",3
"Seine","Species richness","CROM_S_05",2
"Seine","Species richness","CROM_S_01",3
"Seine","Species richness","ECHO_S_01",2
"Seine","Species richness","ECHO_S_02",2
"Seine","Species richness","ECHO_S_03",3
"Seine","Species richness","ECHO_S_04",3
"Seine","Species richness","ECHO_S_05",4
"Seine","Species richness","ECHO_S_06",4
"Seine","Species richness","ECHO_S_07",3
"Seine","Species richness","FOUR_S_02",1
"Seine","Species richness","FOUR_S_03",1
"Seine","Species richness","FOUR_S_04",3
"Seine","Species richness","FOUR_S_01",1
"Seine","Species richness","FOUR_S_05",3
"Seine","Species richness","MONT_S_01",1
"Seine","Species richness","MONT_S_02",1
"Seine","Species richness","MONT_S_03",2
"Seine","Species richness","MONT_S_04",2
"Seine","Species richness","MONT_S_05",0
"Seine","Species richness","MORE_S_01",2
"Seine","Species richness","MORE_S_02",2
"Seine","Species richness","MORE_S_03",1
"Seine","Species richness","MORE_S_04",1
"Seine","Species richness","MORE_S_05",1
"Seine","Species richness","MORE_S_06",3
"Seine","Species richness","PINR_S_01",1
"Seine","Species richness","PINR_S_02",1
"Seine","Species richness","PINR_S_05",1
"Seine","Species richness","PINR_S_03",2
"Seine","Species richness","PINR_S_04",2
"Seine","Species richness","STON_S_01",2
"Seine","Species richness","STON_S_02",2
"Seine","Species richness","STON_S_03",1
"Seine","Species richness","STON_S_04",1
"Seine","Species richness","TRAC_S_02",0
"Seine","Species richness","TRAC_S_03",0
"Seine","Species richness","TRAC_S_01",0
"Seine","Species richness","TRAC_S_04",0
"Seine","Species richness","TRIT_S_01",1
"Seine","Species richness","TRIT_S_02",1
"Seine","Species richness","TRIT_S_03",1
"Seine","Species richness","TRIT_S_04",2
"Seine","Diversity","ACHI_S_01",1
"Seine","Diversity","ACHI_S_02",0.408163265306122
"Seine","Diversity","ACHI_S_05",1
"Seine","Diversity","ACHI_S_06",1
"Seine","Diversity","ACHI_S_03",1
"Seine","Diversity","ACHI_S_04",1
"Seine","Diversity","ACHI_S_07",0.375
"Seine","Diversity","ACHI_S_08",0.553571428571429
"Seine","Diversity","BEAV_S_01",0.432354570637119
"Seine","Diversity","BEAV_S_02",0.477212473172579
"Seine","Diversity","BEAV_S_03",0.391358867319566
"Seine","Diversity","BEAV_S_04",0.106328109502083
"Seine","Diversity","COEU_S_01",1
"Seine","Diversity","COEU_S_02",0
"Seine","Diversity","COEU_S_03",0.499117293976414
"Seine","Diversity","COEU_S_04",0
"Seine","Diversity","COEU_S_05",0.32
"Seine","Diversity","COEU_S_06",0.32
"Seine","Diversity","CORN_S_01",0
"Seine","Diversity","CORN_S_02",0.444444444444444
"Seine","Diversity","CORN_S_03",0
"Seine","Diversity","CORN_S_04",0
"Seine","Diversity","CORR_S_01",0.0367843617732234
"Seine","Diversity","CORR_S_02",0.557777777777778
"Seine","Diversity","CORR_S_03",0.197530864197531
"Seine","Diversity","CORR_S_04",0.213763936947328
"Seine","Diversity","CROC_S_02",0.625
"Seine","Diversity","CROC_S_04",0.375
"Seine","Diversity","CROC_S_05",0.324044814708417
"Seine","Diversity","CROC_S_01",0
"Seine","Diversity","CROM_S_02",0.446280991735537
"Seine","Diversity","CROM_S_03",0.368179925031237
"Seine","Diversity","CROM_S_04",0.657777777777778
"Seine","Diversity","CROM_S_05",0.244897959183674
"Seine","Diversity","CROM_S_01",0.540816326530612
"Seine","Diversity","ECHO_S_01",0.5
"Seine","Diversity","ECHO_S_02",0.32
"Seine","Diversity","ECHO_S_03",0.230371900826446
"Seine","Diversity","ECHO_S_04",0.4576
"Seine","Diversity","ECHO_S_05",0.25
"Seine","Diversity","ECHO_S_06",0.49054820415879
"Seine","Diversity","ECHO_S_07",0.53185595567867
"Seine","Diversity","FOUR_S_02",0
"Seine","Diversity","FOUR_S_03",0
"Seine","Diversity","FOUR_S_04",0.1504
"Seine","Diversity","FOUR_S_01",0
"Seine","Diversity","FOUR_S_05",0.489892984542212
"Seine","Diversity","MONT_S_01",0
"Seine","Diversity","MONT_S_02",0
"Seine","Diversity","MONT_S_03",0.104938271604938
"Seine","Diversity","MONT_S_04",0.260355029585799
"Seine","Diversity","MONT_S_05",1
"Seine","Diversity","MORE_S_01",0.4032
"Seine","Diversity","MORE_S_02",0.493827160493827
"Seine","Diversity","MORE_S_03",0
"Seine","Diversity","MORE_S_04",0
"Seine","Diversity","MORE_S_05",0
"Seine","Diversity","MORE_S_06",0.628099173553719
"Seine","Diversity","PINR_S_01",0
"Seine","Diversity","PINR_S_02",0
"Seine","Diversity","PINR_S_05",0
"Seine","Diversity","PINR_S_03",0.5
"Seine","Diversity","PINR_S_04",0.277777777777778
"Seine","Diversity","STON_S_01",0.124444444444444
"Seine","Diversity","STON_S_02",0.197530864197531
"Seine","Diversity","STON_S_03",0
"Seine","Diversity","STON_S_04",0
"Seine","Diversity","TRAC_S_02",1
"Seine","Diversity","TRAC_S_03",1
"Seine","Diversity","TRAC_S_01",1
"Seine","Diversity","TRAC_S_04",1
"Seine","Diversity","TRIT_S_01",0
"Seine","Diversity","TRIT_S_02",0
"Seine","Diversity","TRIT_S_03",0
"Seine","Diversity","TRIT_S_04",0.255
"Seine","Evenness","ACHI_S_01",0
"Seine","Evenness","ACHI_S_02",0.863120568566631
"Seine","Evenness","ACHI_S_05",0
"Seine","Evenness","ACHI_S_06",0
"Seine","Evenness","ACHI_S_03",0
"Seine","Evenness","ACHI_S_04",0
"Seine","Evenness","ACHI_S_07",0.811278124459133
"Seine","Evenness","ACHI_S_08",0.856254012776409
"Seine","Evenness","BEAV_S_01",0.643262868099854
"Seine","Evenness","BEAV_S_02",0.966870164563014
"Seine","Evenness","BEAV_S_03",0.837028113013875
"Seine","Evenness","BEAV_S_04",0.312733376396643
"Seine","Evenness","COEU_S_01",0
"Seine","Evenness","COEU_S_02",NA
"Seine","Evenness","COEU_S_03",0.99872614943083
"Seine","Evenness","COEU_S_04",NA
"Seine","Evenness","COEU_S_05",0.721928094887362
"Seine","Evenness","COEU_S_06",0.721928094887362
"Seine","Evenness","CORN_S_01",NA
"Seine","Evenness","CORN_S_02",0.91829583405449
"Seine","Evenness","CORN_S_03",NA
"Seine","Evenness","CORN_S_04",NA
"Seine","Evenness","CORR_S_01",0.0958667658531774
"Seine","Evenness","CORR_S_02",0.723219672335508
"Seine","Evenness","CORR_S_03",0.503258334775646
"Seine","Evenness","CORR_S_04",0.397860629671952
"Seine","Evenness","CROC_S_02",0.946394630357186
"Seine","Evenness","CROC_S_04",0.811278124459133
"Seine","Evenness","CROC_S_05",0.728656167370268
"Seine","Evenness","CROC_S_01",NA
"Seine","Evenness","CROM_S_02",0.638806718409558
"Seine","Evenness","CROM_S_03",0.604464817245444
"Seine","Evenness","CROM_S_04",0.987781243811924
"Seine","Evenness","CROM_S_05",0.591672778582327
"Seine","Evenness","CROM_S_01",0.815329649932539
"Seine","Evenness","ECHO_S_01",1
"Seine","Evenness","ECHO_S_02",0.721928094887362
"Seine","Evenness","ECHO_S_03",0.413559882625608
"Seine","Evenness","ECHO_S_04",0.680345483920111
"Seine","Evenness","ECHO_S_05",0.326511900057881
"Seine","Evenness","ECHO_S_06",0.644396558779955
"Seine","Evenness","ECHO_S_07",0.828051642704973
"Seine","Evenness","FOUR_S_02",NA
"Seine","Evenness","FOUR_S_03",NA
"Seine","Evenness","FOUR_S_04",0.304221197651605
"Seine","Evenness","FOUR_S_01",NA
"Seine","Evenness","FOUR_S_05",0.743427272161041
"Seine","Evenness","MONT_S_01",NA
"Seine","Evenness","MONT_S_02",NA
"Seine","Evenness","MONT_S_03",0.309543429150325
"Seine","Evenness","MONT_S_04",0.619382194678764
"Seine","Evenness","MONT_S_05",0
"Seine","Evenness","MORE_S_01",0.855450810560131
"Seine","Evenness","MORE_S_02",0.991076059838222
"Seine","Evenness","MORE_S_03",NA
"Seine","Evenness","MORE_S_04",NA
"Seine","Evenness","MORE_S_05",NA
"Seine","Evenness","MORE_S_06",0.943188780525573
"Seine","Evenness","PINR_S_01",NA
"Seine","Evenness","PINR_S_02",NA
"Seine","Evenness","PINR_S_05",NA
"Seine","Evenness","PINR_S_03",1
"Seine","Evenness","PINR_S_04",0.650022421648354
"Seine","Evenness","STON_S_01",0.353359335021421
"Seine","Evenness","STON_S_02",0.503258334775646
"Seine","Evenness","STON_S_03",NA
"Seine","Evenness","STON_S_04",NA
"Seine","Evenness","TRAC_S_02",0
"Seine","Evenness","TRAC_S_03",0
"Seine","Evenness","TRAC_S_01",0
"Seine","Evenness","TRAC_S_04",0
"Seine","Evenness","TRIT_S_01",NA
"Seine","Evenness","TRIT_S_02",NA
"Seine","Evenness","TRIT_S_03",NA
"Seine","Evenness","TRIT_S_04",0.6098403047164
"Transect","Species richness","ACHI_T_01",1
"Transect","Species richness","ACHI_T_02",0
"Transect","Species richness","ACHI_T_03",1
"Transect","Species richness","ACHI_T_04",1
"Transect","Species richness","ACHI_T_05",3
"Transect","Species richness","ACHI_T_06",1
"Transect","Species richness","COEU_T_03",3
"Transect","Species richness","COEU_T_04",3
"Transect","Species richness","COEU_T_01",2
"Transect","Species richness","COEU_T_02",3
"Transect","Species richness","CORN_T_01",4
"Transect","Species richness","CORN_T_02",3
"Transect","Species richness","CORN_T_03",4
"Transect","Species richness","CORN_T_04",2
"Transect","Species richness","CORR_T_01",2
"Transect","Species richness","CORR_T_02",2
"Transect","Species richness","CROC_T_01",2
"Transect","Species richness","CROC_T_04",2
"Transect","Species richness","CROC_T_06",2
"Transect","Species richness","CROM_T_02",2
"Transect","Species richness","CROM_T_03",3
"Transect","Species richness","CROM_T_04",3
"Transect","Species richness","ECHO_T_05",5
"Transect","Species richness","ECHO_T_01",5
"Transect","Species richness","ECHO_T_02",3
"Transect","Species richness","ECHO_T_03",3
"Transect","Species richness","ECHO_T_04",4
"Transect","Species richness","FOUR_T_01",2
"Transect","Species richness","FOUR_T_02",3
"Transect","Species richness","FOUR_T_03",4
"Transect","Species richness","MORE_T_03",2
"Transect","Species richness","MORE_T_04",3
"Transect","Species richness","MORE_T_01",2
"Transect","Species richness","MORE_T_02",2
"Transect","Species richness","PINR_T_01",1
"Transect","Species richness","PINR_T_02",3
"Transect","Species richness","PINR_T_03",2
"Transect","Species richness","TRIT_T_01",2
"Transect","Species richness","TRIT_T_02",1
"Transect","Diversity","ACHI_T_01",0
"Transect","Diversity","ACHI_T_02",1
"Transect","Diversity","ACHI_T_03",0
"Transect","Diversity","ACHI_T_04",0
"Transect","Diversity","ACHI_T_05",0.484281474774911
"Transect","Diversity","ACHI_T_06",0
"Transect","Diversity","COEU_T_03",0.513520822065982
"Transect","Diversity","COEU_T_04",0.532235939643347
"Transect","Diversity","COEU_T_01",0.495162590701424
"Transect","Diversity","COEU_T_02",0.468089196462899
"Transect","Diversity","CORN_T_01",0.6126041386724
"Transect","Diversity","CORN_T_02",0.44500650223721
"Transect","Diversity","CORN_T_03",0.460579370299408
"Transect","Diversity","CORN_T_04",0.0322493953238376
"Transect","Diversity","CORR_T_01",0.228331916250399
"Transect","Diversity","CORR_T_02",0.322845804988662
"Transect","Diversity","CROC_T_01",0.445083008745193
"Transect","Diversity","CROC_T_04",0.49992857256234
"Transect","Diversity","CROC_T_06",0.441224489795918
"Transect","Diversity","CROM_T_02",0.090702947845805
"Transect","Diversity","CROM_T_03",0.204772124731726
"Transect","Diversity","CROM_T_04",0.432775011317338
"Transect","Diversity","ECHO_T_05",0.483699845679012
"Transect","Diversity","ECHO_T_01",0.636427459479259
"Transect","Diversity","ECHO_T_02",0.65625
"Transect","Diversity","ECHO_T_03",0.335045970795024
"Transect","Diversity","ECHO_T_04",0.520833333333333
"Transect","Diversity","FOUR_T_01",0.491781722550953
"Transect","Diversity","FOUR_T_02",0.45684113865932
"Transect","Diversity","FOUR_T_03",0.298767665900533
"Transect","Diversity","MORE_T_03",0.0426085553077888
"Transect","Diversity","MORE_T_04",0.481852768587457
"Transect","Diversity","MORE_T_01",0.0334351427645889
"Transect","Diversity","MORE_T_02",0.120191903038465
"Transect","Diversity","PINR_T_01",0
"Transect","Diversity","PINR_T_02",0.361007373360146
"Transect","Diversity","PINR_T_03",0.20551649540292
"Transect","Diversity","TRIT_T_01",0.00370369095521506
"Transect","Diversity","TRIT_T_02",0
"Transect","Evenness","ACHI_T_01",NA
"Transect","Evenness","ACHI_T_02",0
"Transect","Evenness","ACHI_T_03",NA
"Transect","Evenness","ACHI_T_04",NA
"Transect","Evenness","ACHI_T_05",0.677014747763322
"Transect","Evenness","ACHI_T_06",NA
"Transect","Evenness","COEU_T_03",0.728108092422368
"Transect","Evenness","COEU_T_04",0.749157662074989
"Transect","Evenness","COEU_T_01",0.993009796542173
"Transect","Evenness","COEU_T_02",0.747162929904815
"Transect","Evenness","CORN_T_01",0.753362850431602
"Transect","Evenness","CORN_T_02",0.624331039623722
"Transect","Evenness","CORN_T_03",0.522506453682649
"Transect","Evenness","CORN_T_04",0.120681014013524
"Transect","Evenness","CORR_T_01",0.561383193478796
"Transect","Evenness","CORR_T_02",0.726664517279635
"Transect","Evenness","CROC_T_01",0.919253454878239
"Transect","Evenness","CROC_T_04",0.99989694953628
"Transect","Evenness","CROC_T_06",0.913460145256963
"Transect","Evenness","CROM_T_02",0.276195427647939
"Transect","Evenness","CROM_T_03",0.382352109800996
"Transect","Evenness","CROM_T_04",0.692178459687642
"Transect","Evenness","ECHO_T_05",0.517435344881501
"Transect","Evenness","ECHO_T_01",0.703190361455899
"Transect","Evenness","ECHO_T_02",0.985056822321508
"Transect","Evenness","ECHO_T_03",0.5693558412048
"Transect","Evenness","ECHO_T_04",0.662172013099515
"Transect","Evenness","FOUR_T_01",0.98811083652183
"Transect","Evenness","FOUR_T_02",0.713458830581382
"Transect","Evenness","FOUR_T_03",0.385765506813325
"Transect","Evenness","MORE_T_03",0.151313593086123
"Transect","Evenness","MORE_T_04",0.662999876978793
"Transect","Evenness","MORE_T_01",0.124287437635232
"Transect","Evenness","MORE_T_02",0.343974514359534
"Transect","Evenness","PINR_T_01",NA
"Transect","Evenness","PINR_T_02",0.563920169241048
"Transect","Evenness","PINR_T_03",0.518569731788306
"Transect","Evenness","TRIT_T_01",0.0195092715549846
"Transect","Evenness","TRIT_T_02",NA
